iter	Passed	Remaining
878	21665	2982
879	21689	2957
880	21710	2932
881	21733	2907
882	21751	2882
883	21774	2857
884	21796	2832
885	21818	2807
886	21837	2782
887	21855	2756
888	21877	2731
889	21895	2706
890	21914	2680
891	21933	2655
892	21952	2630
893	21972	2605
894	21994	2580
895	22013	2555
896	22032	2529
897	22053	2504
898	22076	2480
899	22097	2455
900	22118	2430
901	22138	2405
902	22161	2380
903	22183	2355
904	22202	2330
905	22222	2305
906	22242	2280
907	22264	2255
908	22289	2231
909	22309	2206
910	22328	2181
911	22346	2156
912	22366	2131
913	22391	2106
914	22409	2081
915	22429	2056
916	22448	2031
917	22473	2007
918	22496	1982
919	22514	1957
920	22531	1932
921	22550	1907
922	22574	1883
923	22598	1858
924	22617	1833
925	22637	1809
926	22656	1784
927	22680	1759
928	22698	1734
929	22717	1709
930	22735	1685
931	22755	1660
932	22782	1636
933	22805	1611
934	22823	1586
935	22841	1561
936	22861	1537
937	22885	1512
938	22906	1488
939	22924	1463
940	22940	1438
941	22961	1413
942	22979	1389
943	22999	1364
944	23018	1339
945	23036	1314
946	23057	1290
947	23078	1265
948	23099	1241
949	23117	1216
950	23135	1192
951	23155	1167
952	23178	1143
953	23197	1118
954	23217	1094
955	23235	1069
956	23256	1044
957	23279	1020
958	23299	996
959	23318	971
960	23336	947
961	23356	922
962	23377	898
963	23395	873
964	23415	849
965	23435	824
966	23456	800
967	23479	776
968	23496	751
969	23516	727
970	23533	702
971	23553	678
972	23576	654
973	23596	629
974	23614	605
975	23632	581
976	23653	556
977	23675	532
978	23694	508
979	23712	483
980	23732	459
981	23752	435
982	23774	411
983	23792	386
984	23810	362
985	23829	338
986	23851	314
987	23871	289
988	23889	265
989	23908	241
990	23928	217
991	23949	193
992	23973	168
993	23993	144
994	24010	120
995	24028	96
996	24050	72
997	24072	48
998	24091	24
999	24110	0
